"Day","0h","1h","2h","3h","4h","5h","6h","7h","8h","9h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h"
"segunda-feira",0,0,0,0,0,0,1,0,4,5,4,5,3,4,9,8,5,4,0,0,0,0,0,0
"terça-feira",0,0,0,0,0,0,0,0,2,9,9,3,1,10,6,16,9,1,0,0,0,0,0,0
"quarta-feira",0,0,0,0,0,0,0,0,1,15,15,15,3,3,5,5,8,6,0,0,0,0,0,0
"quinta-feira",0,0,0,0,0,0,0,0,3,7,10,8,3,6,20,9,2,7,1,0,0,0,0,0
"sexta-feira",0,0,0,0,0,0,0,1,4,14,7,4,5,9,4,4,6,4,4,0,0,0,0,0
"Sábado",0,0,0,0,0,0,0,1,4,9,2,1,1,0,0,1,0,0,0,0,0,0,0,0
"Domingo",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
