"Média de interações","","","NPS","","","CSAT",""
"id","interactions","","contact_id","score","","contact_id","score"
"4334","3","","4303","10","",""
"4335","6","","4328","10","",""
"4336","9","","4309","5","",""
"4337","5","","4418","10","",""
"4338","3","","4419","10","",""
"4339","5","","4404","10","",""
"4340","5","","4415","10","",""
"4341","5","","4425","10","",""
"4342","5","","4387","9","",""
"4343","9","","4413","9","",""
"4344","6","","4433","10","",""
"4345","5","","4443","10","",""
"4346","5","","4451","10","",""
"4347","3","","4462","10","",""
"4348","2","","4429","10","",""
"4349","6","","4447","10","",""
"4350","5","","4272","10","",""
"4351","2","","4454","10","",""
"4352","2","","4143","10","",""
"4353","2","","4316","10","",""
"4354","5","","4472","10","",""
"4355","6","","4479","10","",""
"4356","6","","4481","10","",""
"4357","6","","4468","10","",""
"4358","5","","4470","9","",""
"4359","5","","4491","10","",""
"4360","6","","4506","10","",""
"4361","5","","4502","4","",""
"4362","6","","","",""
"4363","2","","","",""
"4364","3","","","",""
"4365","6","","","",""
"4366","6","","","",""
"4367","6","","","",""
"4368","6","","","",""
"4369","6","","","",""
"4370","5","","","",""
"4371","8","","","",""
"4372","6","","","",""
"4373","6","","","",""
"4374","6","","","",""
"4375","5","","","",""
"4376","6","","","",""
"4377","6","","","",""
"4378","6","","","",""
"4379","5","","","",""
"4380","6","","","",""
"4381","5","","","",""
"4382","9","","","",""
"4383","5","","","",""
"4384","6","","","",""
"4385","6","","","",""
"4386","6","","","",""
"4387","6","","","",""
"4388","6","","","",""
"4389","8","","","",""
"4390","5","","","",""
"4391","6","","","",""
"4392","3","","","",""
"4393","2","","","",""
"4394","5","","","",""
"4395","5","","","",""
"4396","5","","","",""
"4397","6","","","",""
"4398","6","","","",""
"4399","3","","","",""
"4400","6","","","",""
"4401","6","","","",""
"4402","6","","","",""
"4403","6","","","",""
"4404","6","","","",""
"4405","3","","","",""
"4406","3","","","",""
"4407","3","","","",""
"4408","3","","","",""
"4409","3","","","",""
"4410","3","","","",""
"4411","3","","","",""
"4412","3","","","",""
"4413","3","","","",""
"4414","3","","","",""
"4415","3","","","",""
"4416","3","","","",""
"4417","3","","","",""
"4418","3","","","",""
"4419","3","","","",""
"4420","3","","","",""
"4421","3","","","",""
"4422","3","","","",""
"4423","1","","","",""
"4424","3","","","",""
"4425","3","","","",""
"4426","6","","","",""
"4427","3","","","",""
"4428","3","","","",""
"4429","3","","","",""
"4430","3","","","",""
"4431","3","","","",""
"4432","3","","","",""
"4433","3","","","",""
"4434","3","","","",""
"4435","3","","","",""
"4436","3","","","",""
"4437","3","","","",""
"4438","3","","","",""
"4439","3","","","",""
"4440","3","","","",""
"4441","3","","","",""
"4442","3","","","",""
"4443","3","","","",""
"4444","3","","","",""
"4445","3","","","",""
"4446","3","","","",""
"4447","3","","","",""
"4448","3","","","",""
"4449","3","","","",""
"4450","3","","","",""
"4451","3","","","",""
"4452","3","","","",""
"4453","3","","","",""
"4454","3","","","",""
"4455","3","","","",""
"4456","3","","","",""
"4457","3","","","",""
"4458","3","","","",""
"4459","1","","","",""
"4460","3","","","",""
"4461","3","","","",""
"4462","3","","","",""
"4463","3","","","",""
"4464","1","","","",""
"4465","3","","","",""
"4466","3","","","",""
"4467","5","","","",""
"4468","6","","","",""
"4469","5","","","",""
"4470","3","","","",""
"4471","3","","","",""
"4472","3","","","",""
"4473","3","","","",""
"4474","3","","","",""
"4475","1","","","",""
"4476","3","","","",""
"4477","3","","","",""
"4478","1","","","",""
"4479","3","","","",""
"4480","3","","","",""
"4481","3","","","",""
"4482","3","","","",""
"4483","1","","","",""
"4484","3","","","",""
"4485","3","","","",""
"4486","1","","","",""
"4487","3","","","",""
"4488","3","","","",""
"4489","3","","","",""
"4490","3","","","",""
"4491","3","","","",""
"4492","3","","","",""
"4493","3","","","",""
"4494","3","","","",""
"4495","3","","","",""
"4496","3","","","",""
"4497","3","","","",""
"4498","6","","","",""
"4499","3","","","",""
"4500","8","","","",""
"4501","5","","","",""
"4502","6","","","",""
"4503","6","","","",""
"4504","3","","","",""
"4505","1","","","",""
"4506","3","","","",""
"4507","1","","","",""
"4508","3","","","",""
"4509","1","","","",""
"4510","5","","","",""
"4511","5","","","",""
"4512","2","","","",""
"4513","2","","","",""
