"Taxa de transferência","","Taxa de retenção","","Conversas por canal","","","","Horários de pico","","","Conversas","","Taxa de abandono"
"contact_id","","contact_id","","","channel","count","","hour","number of contacts","","contact_id","","contact_id"
"4335","","4334","","10-05","chat","0","","0","0","","4334","","4364"
"4336","","4335","","10-05","instagram","0","","1","0","","4353","","4392"
"4337","","4336","","10-05","whatsapp","2","","2","0","","4363","","4423"
"4339","","4337","","10-05","rcs","0","","3","0","","4377","","4459"
"4340","","4338","","10-05","facebook","0","","4","0","","4383","","4464"
"4341","","4339","","10-05","custom","0","","5","0","","4386","","4475"
"4342","","4340","","10-05","meli","0","","6","0.13","","4388","","4478"
"4343","","4341","","11-05","chat","0","","7","0.38","","4404","","4483"
"4344","","4342","","11-05","instagram","0","","8","2.25","","4414","","4486"
"4345","","4343","","11-05","whatsapp","32","","9","3.13","","4418","","4499"
"4346","","4344","","11-05","rcs","0","","10","3.13","","4421","","4504"
"4349","","4345","","11-05","facebook","0","","11","1.88","","4430","","4505"
"4350","","4346","","11-05","custom","0","","12","1.63","","4470","","4507"
"4355","","4347","","11-05","meli","0","","13","1.88","","4494","","4509"
"4354","","4348","","12-05","chat","0","","14","2.75","","4497","",""
"4356","","4349","","12-05","instagram","0","","15","2.5","","4500","",""
"4357","","4350","","12-05","whatsapp","37","","16","1.25","","4501","",""
"4358","","4351","","12-05","rcs","0","","17","1.25","","","",""
"4359","","4352","","12-05","facebook","0","","18","0.38","","","",""
"4360","","4353","","12-05","custom","0","","19","0","","","",""
"4362","","4354","","12-05","meli","0","","20","0","","","",""
"4361","","4355","","13-05","chat","0","","21","0","","","",""
"4364","","4356","","13-05","instagram","0","","22","0","","","",""
"4365","","4357","","13-05","whatsapp","29","","23","0","","","",""
"4366","","4358","","13-05","rcs","0","","","","","",""
"4367","","4359","","13-05","facebook","0","","","","","",""
"4368","","4360","","13-05","custom","0","","","","","",""
"4369","","4361","","13-05","meli","0","","","","","",""
"4370","","4362","","14-05","chat","0","","","","","",""
"4371","","4363","","14-05","instagram","0","","","","","",""
"4372","","4365","","14-05","whatsapp","35","","","","","",""
"4373","","4366","","14-05","rcs","0","","","","","",""
"4374","","4367","","14-05","facebook","0","","","","","",""
"4375","","4368","","14-05","custom","0","","","","","",""
"4376","","4369","","14-05","meli","0","","","","","",""
"4377","","4370","","15-05","chat","0","","","","","",""
"4378","","4371","","15-05","instagram","0","","","","","",""
"4379","","4372","","15-05","whatsapp","31","","","","","",""
"4380","","4373","","15-05","rcs","0","","","","","",""
"4381","","4374","","15-05","facebook","0","","","","","",""
"4382","","4375","","15-05","custom","0","","","","","",""
"4383","","4376","","15-05","meli","0","","","","","",""
"4384","","4377","","16-05","chat","0","","","","","",""
"4385","","4378","","16-05","instagram","0","","","","","",""
"4386","","4379","","16-05","whatsapp","11","","","","","",""
"4387","","4380","","16-05","rcs","0","","","","","",""
"4388","","4381","","16-05","facebook","0","","","","","",""
"4389","","4382","","16-05","custom","0","","","","","",""
"4390","","4383","","16-05","meli","0","","","","","",""
"4391","","4384","","17-05","chat","0","","","","","",""
"4392","","4385","","17-05","instagram","0","","","","","",""
"4394","","4386","","17-05","whatsapp","3","","","","","",""
"4395","","4387","","17-05","rcs","0","","","","","",""
"4396","","4388","","17-05","facebook","0","","","","","",""
"4397","","4389","","17-05","custom","0","","","","","",""
"4398","","4390","","17-05","meli","0","","","","","",""
"4400","","4391","","","","","","","",""
"4402","","4393","","","","","","","",""
"4401","","4394","","","","","","","",""
"4403","","4395","","","","","","","",""
"4404","","4396","","","","","","","",""
"4405","","4397","","","","","","","",""
"4406","","4398","","","","","","","",""
"4407","","4399","","","","","","","",""
"4408","","4400","","","","","","","",""
"4409","","4401","","","","","","","",""
"4410","","4402","","","","","","","",""
"4411","","4403","","","","","","","",""
"4412","","4404","","","","","","","",""
"4413","","4405","","","","","","","",""
"4414","","4406","","","","","","","",""
"4415","","4407","","","","","","","",""
"4416","","4408","","","","","","","",""
"4417","","4409","","","","","","","",""
"4418","","4410","","","","","","","",""
"4419","","4411","","","","","","","",""
"4420","","4412","","","","","","","",""
"4421","","4413","","","","","","","",""
"4318","","4414","","","","","","","",""
"4422","","4415","","","","","","","",""
"4423","","4416","","","","","","","",""
"4424","","4417","","","","","","","",""
"4425","","4418","","","","","","","",""
"4426","","4419","","","","","","","",""
"4427","","4420","","","","","","","",""
"4428","","4421","","","","","","","",""
"4429","","4422","","","","","","","",""
"4430","","4424","","","","","","","",""
"4431","","4425","","","","","","","",""
"4432","","4426","","","","","","","",""
"4433","","4427","","","","","","","",""
"4434","","4428","","","","","","","",""
"4435","","4429","","","","","","","",""
"4436","","4430","","","","","","","",""
"4437","","4431","","","","","","","",""
"4438","","4432","","","","","","","",""
"4439","","4433","","","","","","","",""
"4440","","4434","","","","","","","",""
"4441","","4435","","","","","","","",""
"4442","","4436","","","","","","","",""
"4443","","4437","","","","","","","",""
"4444","","4438","","","","","","","",""
"4445","","4439","","","","","","","",""
"4446","","4440","","","","","","","",""
"4447","","4441","","","","","","","",""
"4448","","4442","","","","","","","",""
"4449","","4443","","","","","","","",""
"4450","","4444","","","","","","","",""
"4451","","4445","","","","","","","",""
"4452","","4446","","","","","","","",""
"4453","","4447","","","","","","","",""
"4454","","4448","","","","","","","",""
"4455","","4449","","","","","","","",""
"4456","","4450","","","","","","","",""
"4457","","4451","","","","","","","",""
"4458","","4452","","","","","","","",""
"4459","","4453","","","","","","","",""
"4460","","4454","","","","","","","",""
"4461","","4455","","","","","","","",""
"4462","","4456","","","","","","","",""
"4463","","4457","","","","","","","",""
"4464","","4458","","","","","","","",""
"4465","","4460","","","","","","","",""
"4466","","4461","","","","","","","",""
"4467","","4462","","","","","","","",""
"4468","","4463","","","","","","","",""
"4469","","4465","","","","","","","",""
"4470","","4466","","","","","","","",""
"4471","","4467","","","","","","","",""
"4472","","4468","","","","","","","",""
"4473","","4469","","","","","","","",""
"4474","","4470","","","","","","","",""
"4147","","4471","","","","","","","",""
"4143","","4472","","","","","","","",""
"4475","","4473","","","","","","","",""
"4476","","4474","","","","","","","",""
"4477","","4476","","","","","","","",""
"4478","","4477","","","","","","","",""
"4479","","4479","","","","","","","",""
"4480","","4480","","","","","","","",""
"4481","","4481","","","","","","","",""
"4482","","4482","","","","","","","",""
"4483","","4484","","","","","","","",""
"4484","","4485","","","","","","","",""
"4485","","4487","","","","","","","",""
"4486","","4488","","","","","","","",""
"4487","","4489","","","","","","","",""
"4488","","4490","","","","","","","",""
"4489","","4491","","","","","","","",""
"4490","","4492","","","","","","","",""
"4267","","4493","","","","","","","",""
"4491","","4494","","","","","","","",""
"4492","","4495","","","","","","","",""
"4493","","4496","","","","","","","",""
"4494","","4497","","","","","","","",""
"4495","","4498","","","","","","","",""
"4496","","4500","","","","","","","",""
"4497","","4501","","","","","","","",""
"4498","","4502","","","","","","","",""
"4499","","4503","","","","","","","",""
"4501","","4506","","","","","","","",""
"4500","","4508","","","","","","","",""
"4502","","4510","","","","","","","",""
"4503","","4511","","","","","","","",""
"4504","","4512","","","","","","","",""
"4505","","4513","","","","","","","",""
"4506","","","","","","","","","",""
"4507","","","","","","","","","",""
"4508","","","","","","","","","",""
"4509","","","","","","","","","",""
"4510","","","","","","","","","",""
"4511","","","","","","","","","",""
