"Razão para fechar","Total de contatos","Conversas","Hora de fechar / HT","Hora de fechar / Sem HT"
"Inativo","55","55","04d 16h","04d 16h"
"Dúvidas do Sistema - Pedidos","10","11","01h 55m","01h 55m"
"Atribuições","125","131","01m 52s","01m 51s"
"Encerramento do chamado (Quando sem resposta, propaganda de lojas e etc)","54","65","02d 06h","02d 06h"
"Dúvidas do Sistema - Admin","42","47","03h 32m","03h 32m"
"Retorno de chamado do Lojista","8","8","03d 13h","03d 13h"
"Dúvidas do Sistema - Integrações","5","6","01h 24m","01h 24m"
"Erros plataforma - Site","3","5","02h 26m","02h 26m"
"Solicitação de ajuda - Integrações","2","2","35m 14s","35m 14s"
"Contato Financeiro","6","6","01h 13m","01h 13m"
"Erros plataforma - Admin","10","10","17h 04m","17h 04m"
"Erros plataforma - App separador","14","16","02h 16m","02h 16m"
"Integração - Erro carga de pedidos","2","3","03d 22h","03d 22h"
"Dúvidas do Sistema - Pagamentos","5","6","02h 33m","02h 33m"
"Solicitação de ajuda - Pedidos","1","2","23m 07s","23m 07s"
"Clientes do Lojista","4","4","12m 53s","12m 53s"
"Contato Proativo/Retorno de Solução","2","3","03d 01h","03d 01h"
"Dúvidas do Sistema - Relatórios","1","1","01h 01m","01h 01m"
"Dúvidas do Sistema - Site","1","1","15m 13s","15m 13s"
"Contato CS","1","1","02d 19h","02d 19h"
"Solicitação de ajuda - Site","1","1","02d 00h","02d 00h"
"Dúvidas do Sistema - Produtos","2","3","01h 18m","01h 18m"
"Solicitação de ajuda - admin","1","1","03d 04h","03d 04h"
"Integração - Erro carga de produtos","2","2","06h 32m","06h 41m"
"Dúvidas do Sistema - Marketing","1","1","03d 22h","03d 22h"
